duration,text,hearts
197,,7
197,YES FASTER,0
197,NONSTOPFRIENDS,0
197,NIOOOOoooOOOOPE,0
198,,11
198,I LOVE YOU,0
198,,1
198,THANK YOU SIMON,0
199,lasttime!,0
199,,3
200,EVEYBOD WNN STEAL MYGRL,0
200,,1
200,,1
201,AAAAAAH,0
201,FASTER FASTER FASTER,0
201,THANK U SIMON,0
201,,19
201,FASTERRRRRR,0
201,I LOVE YOU SO MUCH,0
201,SHE BELONGS TO MEEEEE,0
202,,5
202,NOOOOOOO,0
203,ONE MORE TIME,0
203,IM SO EMO RN ,0
203,TY SOMON ,0
203,,1
204,,1
204,CHATROOM ABSOLOUTELY POPPING ,0
204,noooooooooooo,0
204,160,0
205,ahhhhhh,0
205,160 160 160 160 160 160,0
205,ONE MORE TIME,0
206,Faster faster faster faster faster,0
206,THANK U SIMON,0
206,SHE MEEEEEEEEEEEEEE,0
207,THANK YOU SIMONNNNN,0
207,legit crying in the office,0
207,ALRIGHT!!!,0
207,CHATROOM IS DONE,0
208,hahahahaha,0
208,,1
208,ONE MORE TIME,0
209,this is outta control,0
209,Alright,0
210,,4
210,,3
210,safe is boring bb,0
211,SHE BELONGS TO *US*,0
211,,2
211,aaayyyyyyyy,0
211,omg,0
211,,12
212,RIP ,0
212,IM PEAKING,0
212,GO TO 2017 BPM,0
213,SHE BELONGS TO ME,0
213,,10
213,,12
213,,2
213,,8
213,LETS GOOOOOOO,0
214,FASTER,0
214,160 !!!!!!!!!!!11,0
214,,1
214,YESSS,0
215,she belong with me!!!!!,0
215,SHE BLONGS TO ME,0
215,AND SHE IS NXC,0
215,,1
215,,1
215,AAAAAAAAAA,0
215,SHE BELONGS TO ME,0
216,,1
217,,13
217,GOGOGOGOGOGOGO,0
217,,1
217,Bsjsisjhaha,0
218,,1
218,chatroom moving as fast as the tunes,0
218,,2
218,NIGHTCOREY FOREVER,0
218,,1
218,,2
218,YEEEEEESSSSSSS,0
219,WOW,0
219,,1
219,Let's crash this chatshack,0
219,Xjisiashw,0
219,YASSS BB,0
220,,1
220,,35
221,,1
221,,6
222,,1
222,,1
222,HSHSHSH,0
222,,1
222,FIND ANOTHER ONE,0
223,,3
223,,5
223,,3
224,,6
224,,3
225,,1
225,,1
225,,3
225,I'm dying this is so sad,0
226,•• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 •• •• 160 ••,0
226,shiiiiiiiiiiiiiiiiii,0
226,ya KILLIN ME,0
227,,3
228,,1
228,I LOVE YOU,0
229,,1
229,,1
229,NIGHTCORE FOREVER,0
229,\o/ \o/ \o/ \o/ \o/ \o/,0
229,,1
229,,1
230,,1
230,,9
232,,1
232,LOVE U,0
232,,8
233,,5
233,STILL COASTIN,0
234,BREAK THE CHAT,0
234,FIND ANOTHR ONE,0
234,THE BEST,0
235,,6
236,HYPERSPEEEEEEEEEED,0
237,FASTER,0
238,ILYSM,0
238,nightcorey forever,0
238,,1
239,AGAIN,0
239,FASTER,0
239,,2
240,,4
241,NON STOP,0
241,,23
243,FASTER SIMON ,0
243,shit,0
244,FASTER,0
244,,1
244,,1
244,thank god this is over lol,0
245,,1
246,,2
247,,6
248,no,0
248,GO TO 200+,0
248,so many emotions,0
249,,1
251,alright,0
251,AAAAAAH,0
251,,1
252,,1
252,,3
253,,2
253,GOOD RIDDANCE BB,0
254,BLAST THE BPM,0
254,im gonna cry i love you all,0
254,,7
254,200+,0
254,,4
255,,9
255,,4
255,,1
257,WILL NEVER RECOVER FROM THIS,0
257,thanks to all the chat pals,0
257,SIMON WE LOVE YOU,0
258,HI SIMON,0
258,,1
259,;;;;;;;,0
259,,1
259,,1
259,nightcorey~~~~~~~,0
261,NOOO,0
261,hahahah,0
262,BYE SIMON,0
263,We'll never stop,0
264,HI SIMON,0
264,i'm cry,0
264,,10
